NAME;LUN;LUN_REDUCED;NAMETYPE;FACE;IAU_DIAMETER;IAU_CENTER_LATITUDE;IAU_CENTER_LONGITUDE;
Lunar formations database V2.1;� Copyright Christian Legrand;
For personal use only;
LIEBIG F;SF2467S04578W;2467S04578;SF;Face visible;8.4998;-24.6670345993795;314.216330396626;
LIEBIG G;SF2614S04583W;2614S04583;SF;Face visible;20.1784;-26.1392545832766;314.167477087676;
LIEBIG H;SF2632S04741W;2632S04741;SF;Face visible;10.3152;-26.3171490123477;312.58724227906;
LIEBIG J;SF2483S04513W;2483S04513;SF;Face visible;3.6205;-24.826470804496;314.872928538832;
LILIUS A;SF5543S00878E;5543S00878;SF;Face visible;38.5306;-55.4344584464946;8.77521760580182;
LILIUS B;SF5302S00376E;5302S00376;SF;Face visible;29.3162;-53.0197235189253;3.76351240630677;
LILIUS C;SF5442S00325E;5442S00325;SF;Face visible;35.1284;-54.4188601269389;3.24966773103435;
LILIUS D;SF5057S00295E;5057S00295;SF;Face visible;58.7755;-50.5693196072513;2.94872034912379;
LILIUS E;SF5026S00286E;5026S00286;SF;Face visible;38.3536;-50.2573112643345;2.86147574969761;
LILIUS F;SF4938S00155E;4938S00155;SF;Face visible;40.3911;-49.3800608098471;1.55056665703959;
LILIUS G;SF5014S00066E;5014S00066;SF;Face visible;6.2229;-50.1352109299331;0.662945706204135;
LILIUS H;SF5055S00075E;5055S00075;SF;Face visible;7.81202;-50.5508904685614;0.751341978228417;
LILIUS J;SF5640S00171E;5640S00171;SF;Face visible;12.0339;-56.4029806801012;1.71299367428314;
LILIUS K;SF5363S00215E;5363S00215;SF;Face visible;22.5328;-53.6263477588328;2.14924664904043;
LILIUS L;SF5494S00240E;5494S00240;SF;Face visible;6.32946;-54.9417382562424;2.40058150108332;
LILIUS M;SF5629S00281E;5629S00281;SF;Face visible;9.24968;-56.2908094513776;2.80777658639871;
LILIUS N;SF4905S00270E;4905S00270;SF;Face visible;4.53399;-49.0538375657225;2.70171627348473;
LILIUS O;SF5550S00354E;5550S00354;SF;Face visible;6.54018;-55.4981913422952;3.53545898485573;
LILIUS P;SF5597S00377E;5597S00377;SF;Face visible;3.5186;-55.9708382519944;3.77402169867485;
LILIUS R;SF5470S00431E;5470S00431;SF;Face visible;9.35145;-54.6995477067881;4.30814278283375;
LILIUS S;SF5280S00582E;5280S00582;SF;Face visible;16.5228;-52.8024699297912;5.82394918370689;
LILIUS T;SF5594S00740E;5594S00740;SF;Face visible;5.00033;-55.9371597218185;7.39826076839701;
LILIUS U;SF5360S00758E;5360S00758;SF;Face visible;7.64102;-53.6033725931877;7.57541492239639;
LILIUS W;SF5381S00833E;5381S00833;SF;Face visible;8.76605;-53.8094636324612;8.33417295064248;
LILIUS X;SF5363S00984E;5363S00984;SF;Face visible;4.0661;-53.6347888550509;9.83965802594034;
LINDENAU D;SF3044S02493E;3044S02493;SF;Face visible;9.77571;-30.4425099420061;24.9309768859741;
LINDENAU E;SF3168S02649E;3168S02649;SF;Face visible;7.36282;-31.6813122779292;26.4941878447461;
